data_prevista;data_entrega;valor_frete;UF_origem;UF_destino;transportadora;tipo_veiculo;status_entrega;dias_atraso
2025-03-09;2025-03-12;1961.98;SP;MG;CargaJá;VUC;entregue;3
2025-04-15;2025-04-15;3201.0;MG;PE;FreteCerto;Truck;entregue;0
2025-04-19;2025-04-19;3328.24;RJ;PE;LogMais;Truck;entregue;0
2025-04-22;2025-04-24;3174.8;MS;SC;TransRápido;VUC;entregue;2
2025-03-12;2025-03-12;3363.86;RJ;ES;CargaJá;Carreta;entregue;0
2025-03-29;2025-03-29;1906.1;MG;SP;TransRápido;Carreta;entregue;0
2025-03-02;2025-03-02;1570.89;RJ;RS;TransRápido;Carreta;entregue;0
2025-03-10;2025-03-12;1774.52;RJ;GO;LogMais;Carreta;entregue;2
2025-03-12;2025-03-14;3785.05;MT;ES;TransRápido;Carreta;entregue;2
2025-02-24;2025-02-24;2116.66;SC;RS;FreteCerto;Truck;entregue;0
2025-03-10;2025-03-13;3990.68;SC;ES;TransRápido;Truck;entregue;3
2025-03-24;2025-03-24;3301.5;RS;MT;FreteCerto;Truck;entregue;0
2025-03-16;2025-03-16;3601.15;RS;MS;FreteCerto;3/4;entregue;0
2025-03-17;2025-03-20;1686.62;MG;ES;TransRápido;3/4;entregue;3
2025-03-11;2025-03-10;3717.37;GO;PR;FreteCerto;Carreta;adiantada;-1
2025-03-09;2025-03-12;1902.59;ES;MT;CargaJá;Carreta;entregue;3
2025-03-05;2025-03-05;3516.24;MG;RJ;LogMais;VUC;entregue;0
2025-04-24;2025-04-26;1925.53;MG;RJ;CargaJá;Truck;entregue;2
2025-03-18;2025-03-21;2447.74;RJ;PE;FreteCerto;3/4;entregue;3
2025-04-22;2025-04-24;3904.67;SC;BA;CargaJá;Truck;entregue;2
2025-03-28;2025-03-29;821.72;MT;RS;FreteCerto;Truck;entregue;1
2025-03-14;2025-03-15;1769.28;PE;BA;LogMais;Truck;entregue;1
2025-03-13;2025-03-13;3687.24;MS;PE;CargaJá;3/4;entregue;0
2025-04-04;2025-04-03;1341.53;SC;ES;FreteCerto;Truck;adiantada;-1
2025-03-26;2025-03-26;2051.26;SP;SC;FreteCerto;Carreta;entregue;0
